id,neighbourhood_cleansed,room_type,price_clean,accommodates,bedrooms,beds,availability_365,number_of_reviews,review_scores_rating,latitude,longitude,instant_bookable,host_is_superhost,estimated_revenue_l365d
693618204101958370,North Hills,Entire home/apt,102.0,4,2.0,2.0,47,93,4.86,32.76333,-117.13565,f,t,24480.0
693620523971694559,Ocean Beach,Private room,131.0,2,1.0,2.0,89,1,5.0,32.74476,-117.25372,f,f,0.0
694107712551808871,East Village,Entire home/apt,672.0,6,2.0,3.0,365,1,3.0,32.71398,-117.15583,t,f,0.0
694310824523471932,Loma Portal,Entire home/apt,235.0,6,3.0,3.0,306,199,4.88,32.7518324,-117.2306716,f,f,59925.0
694328510570980212,Southcrest,Entire home/apt,121.0,2,1.0,2.0,365,6,5.0,32.6915757,-117.1062295,t,f,0.0
694452317752750290,Loma Portal,Entire home/apt,230.0,8,3.0,4.0,320,33,4.76,32.74332,-117.23501,t,t,12420.0
694897474848581220,Rolando,Entire home/apt,120.0,2,1.0,1.0,257,17,4.94,32.76171,-117.05883,f,t,29760.0
695041331678812108,Loma Portal,Entire home/apt,98.0,4,1.0,2.0,310,161,4.85,32.74588,-117.24075,f,t,24990.0
695483519708783762,La Jolla,Entire home/apt,352.0,10,4.0,5.0,342,54,4.46,32.84429,-117.24831,t,f,12672.0
695753036469365764,Park West,Private room,136.0,2,1.0,1.0,286,66,4.86,32.7304,-117.16319,t,t,13056.0
696503088612245611,Grant Hill,Entire home/apt,140.0,8,2.0,3.0,308,208,4.85,32.70642,-117.14577,t,t,35700.0
697093351576120156,Pacific Beach,Entire home/apt,307.0,8,3.0,5.0,322,29,4.72,32.80551,-117.25276,t,f,16578.0
697282316878999489,College Area,Entire home/apt,149.0,4,1.0,1.0,52,12,4.83,32.76635,-117.08224,f,t,10728.0
697534420834184000,Bay Park,Entire home/apt,244.0,6,3.0,4.0,286,221,4.99,32.790836061944134,-117.19161204993723,f,t,62220.0
697761451010489034,Midtown,Entire home/apt,160.0,4,0.0,4.0,310,1,5.0,32.7385226,-117.1597926,f,t,960.0
697761638857636144,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.7385226,-117.1597926,f,t,0.0
697761763735639402,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.73852,-117.15979,f,t,0.0
697761895580930070,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.7385226,-117.1597926,f,t,0.0
697762176886808619,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.7385226,-117.1597926,f,t,0.0
697762629235134535,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.7385226,-117.1597926,f,t,0.0
697762770780199457,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.7385226,-117.1597926,f,t,0.0
697762954096435212,Midtown,Entire home/apt,188.0,4,1.0,2.0,254,0,,32.7385226,-117.1597926,f,t,0.0
697765990739270869,Midtown,Entire home/apt,280.0,6,2.0,4.0,230,0,,32.7385226,-117.1597926,f,t,0.0
697766198709662820,Midtown,Entire home/apt,280.0,6,2.0,4.0,230,0,,32.73852,-117.15979,f,t,0.0
697766304260882796,Midtown,Entire home/apt,280.0,6,2.0,4.0,230,0,,32.7385226,-117.1597926,f,t,0.0
697963017809848179,Northwest,Entire home/apt,363.0,5,3.0,3.0,165,3,4.67,32.62685,-117.0608,f,t,0.0
698456755728387698,Rancho Penasquitos,Entire home/apt,765.0,10,4.0,5.0,346,11,4.45,32.95164,-117.14488,t,t,0.0
698571605808562403,Mission Bay,Entire home/apt,463.0,4,2.0,2.0,219,18,4.72,32.78753,-117.25488,f,f,11112.0
698618407857893787,Grantville,Private room,60.0,2,1.0,1.0,68,268,4.89,32.7873,-117.08991,f,t,15300.0
698625444737837206,Grantville,Private room,58.0,2,1.0,1.0,58,279,4.88,32.78875,-117.08977,f,t,14790.0
698627071613806331,Grantville,Private room,58.0,2,1.0,1.0,73,262,4.87,32.78681,-117.08972,f,t,14790.0
698627692152170585,Grantville,Private room,56.0,2,1.0,1.0,67,206,4.86,32.78886,-117.09147,f,t,14280.0
699130861588031689,Gaslamp Quarter,Entire home/apt,159.0,4,0.0,2.0,316,13,5.0,32.71501,-117.15979,f,t,10494.0
699131140412566866,Gaslamp Quarter,Entire home/apt,159.0,4,0.0,2.0,325,3,3.0,32.71501,-117.15979,f,t,0.0
